               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.029312,             0.02591,            0.005395,             0.86181,             0.70096,               0.785,             0.50225,            0.039723,            0.025482,           0.0094681,            0.007129,            0.007129,            0.007129
                  60,            0.028845,            0.026043,           0.0053058,             0.84188,             0.71767,             0.78209,             0.49794,            0.039697,            0.025381,           0.0090639,           0.0070795,           0.0070795,           0.0070795
                  61,            0.028865,            0.026318,           0.0053936,             0.81742,              0.7233,             0.78106,             0.49575,            0.039928,            0.025852,           0.0091949,             0.00703,             0.00703,             0.00703
                  62,            0.028512,            0.025603,           0.0052096,             0.84735,             0.70718,             0.77896,             0.49075,            0.040123,            0.026033,           0.0089472,           0.0069805,           0.0069805,           0.0069805
                  63,            0.028414,            0.025603,           0.0053533,             0.81815,             0.73255,             0.78354,             0.49032,            0.039922,            0.025539,           0.0091595,            0.006931,            0.006931,            0.006931
                  64,            0.028246,            0.025537,           0.0052797,             0.81143,             0.71949,             0.77468,              0.4863,            0.040252,            0.026232,            0.009934,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028064,            0.025451,           0.0050675,             0.81862,             0.70532,             0.77052,             0.48312,            0.040326,             0.02655,            0.010028,            0.006832,            0.006832,            0.006832
                  66,            0.028112,            0.025178,           0.0051448,             0.83403,             0.70289,             0.76768,             0.48406,            0.040132,            0.026851,           0.0095625,           0.0067825,           0.0067825,           0.0067825
                  67,            0.027746,            0.024878,           0.0050993,             0.82441,             0.72635,              0.7782,             0.48707,            0.040331,            0.025867,           0.0093665,            0.006733,            0.006733,            0.006733
                  68,            0.027805,            0.025019,           0.0050507,             0.83889,             0.71941,             0.78159,             0.49706,             0.03985,            0.026216,           0.0094186,           0.0066835,           0.0066835,           0.0066835
                  69,            0.027668,             0.02528,           0.0050879,             0.83537,             0.71337,             0.77836,             0.49211,            0.040148,            0.026116,           0.0096045,            0.006634,            0.006634,            0.006634
                  70,            0.027578,            0.024983,           0.0050584,             0.86088,             0.70014,              0.7817,             0.49508,             0.04012,            0.026777,           0.0097852,           0.0065845,           0.0065845,           0.0065845
                  71,            0.027154,            0.025085,           0.0049291,             0.82788,             0.72871,             0.78401,             0.49632,            0.039688,            0.026569,           0.0095053,            0.006535,            0.006535,            0.006535
                  72,            0.027332,            0.024392,           0.0048727,             0.81865,              0.7276,             0.78016,             0.49704,            0.040487,            0.026499,           0.0094625,           0.0064855,           0.0064855,           0.0064855
                  73,            0.027057,             0.02435,            0.004847,             0.82295,             0.72254,             0.78612,             0.49897,             0.04005,            0.026814,           0.0087932,            0.006436,            0.006436,            0.006436
                  74,            0.026913,            0.024139,           0.0047661,             0.85237,             0.72225,             0.79197,             0.50404,            0.039882,            0.025845,           0.0090602,           0.0063865,           0.0063865,           0.0063865
                  75,            0.026801,            0.024288,           0.0047253,             0.84144,              0.7264,             0.78975,             0.50193,            0.040042,            0.026493,           0.0087839,            0.006337,            0.006337,            0.006337
                  76,            0.026552,            0.024213,           0.0048047,             0.85624,             0.72273,             0.79111,             0.50729,            0.039549,             0.02636,           0.0090766,           0.0062875,           0.0062875,           0.0062875
                  77,            0.026713,            0.023981,           0.0048551,             0.83592,             0.72899,             0.78329,             0.49846,            0.039852,            0.026628,           0.0086975,            0.006238,            0.006238,            0.006238
                  78,            0.026372,             0.02368,           0.0047464,             0.85838,             0.71288,              0.7916,             0.50544,            0.039369,            0.026299,           0.0090857,           0.0061885,           0.0061885,           0.0061885
                  79,            0.026034,            0.023773,           0.0045582,             0.84641,             0.70997,             0.78553,             0.50326,            0.039561,            0.026816,           0.0089805,            0.006139,            0.006139,            0.006139
                  80,            0.026212,             0.02353,           0.0046062,             0.84501,             0.71954,             0.78937,             0.50094,            0.039432,            0.026609,           0.0093784,           0.0060895,           0.0060895,           0.0060895
                  81,            0.026246,            0.023765,           0.0047061,             0.83561,              0.7265,             0.79273,             0.50557,            0.039447,            0.026404,             0.00943,             0.00604,             0.00604,             0.00604
                  82,            0.026017,            0.023558,           0.0046359,             0.85581,              0.7191,             0.78681,              0.5028,            0.039631,            0.026768,           0.0094674,           0.0059905,           0.0059905,           0.0059905
                  83,            0.025745,            0.023406,           0.0043445,             0.84468,             0.71531,             0.77938,              0.4981,            0.039733,            0.026998,           0.0099003,            0.005941,            0.005941,            0.005941
                  84,            0.025584,            0.023353,           0.0045772,             0.85562,             0.70589,              0.7756,             0.49864,            0.039629,             0.02748,           0.0095118,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025477,            0.022937,           0.0043209,             0.83648,             0.71715,             0.77507,             0.49932,            0.039937,            0.027096,           0.0090563,            0.005842,            0.005842,            0.005842
                  86,            0.025422,            0.023113,           0.0044487,             0.83409,             0.71022,             0.77147,             0.49428,            0.039908,            0.027575,           0.0095594,           0.0057925,           0.0057925,           0.0057925
                  87,            0.025212,            0.022617,           0.0044648,             0.83677,              0.7157,             0.77765,             0.50241,             0.03976,            0.027398,           0.0097015,            0.005743,            0.005743,            0.005743
                  88,            0.025377,            0.022739,           0.0044492,             0.83006,             0.72526,             0.78064,             0.50201,            0.039869,              0.0272,           0.0093413,           0.0056935,           0.0056935,           0.0056935
                  89,            0.025112,            0.022964,            0.004323,             0.83275,             0.71823,             0.78588,             0.50413,            0.039463,            0.027424,           0.0093555,            0.005644,            0.005644,            0.005644
                  90,            0.024878,            0.022595,           0.0043771,             0.81666,             0.73262,              0.7813,             0.50402,            0.039723,            0.027419,           0.0088621,           0.0055945,           0.0055945,           0.0055945
                  91,            0.024943,            0.022793,           0.0042048,             0.84072,             0.71806,              0.7833,             0.50574,            0.039722,            0.027416,            0.009226,            0.005545,            0.005545,            0.005545
                  92,            0.024752,            0.022695,           0.0044074,             0.83368,             0.72572,             0.78465,             0.50398,            0.039521,            0.027437,           0.0090315,           0.0054955,           0.0054955,           0.0054955
                  93,             0.02493,            0.022674,           0.0043644,             0.84145,             0.72479,             0.78194,              0.5049,            0.039503,            0.027626,           0.0091585,            0.005446,            0.005446,            0.005446
                  94,            0.024434,            0.022513,           0.0042452,             0.84815,             0.71932,             0.78086,             0.50225,            0.039561,            0.027878,           0.0091578,           0.0053965,           0.0053965,           0.0053965
                  95,            0.024201,            0.022232,           0.0040706,             0.85163,             0.71357,              0.7812,             0.50498,            0.039341,            0.028394,           0.0088485,            0.005347,            0.005347,            0.005347
                  96,            0.024316,            0.021853,           0.0043019,             0.84269,              0.7104,             0.77537,             0.50252,            0.039813,            0.028295,           0.0093054,           0.0052975,           0.0052975,           0.0052975
                  97,             0.02415,            0.022425,           0.0041838,             0.85421,             0.71068,             0.77623,             0.49984,             0.03969,            0.028546,           0.0096092,            0.005248,            0.005248,            0.005248
